Timestamp,ComputerType,FavColor,SlpHrs,FavSport,Age,OutdoorHrs,HairColor,IdealTemp,PhoneHrs,MusicGenre,NumStates,FavSeason,BfastAmt,WinterBreak
1/13/2025 15:42,Mac,BURGUNDY ,10,SWIMMING ,228,3,DARK,60,4,POP,10,SPRING,20,INCREDIBLE
1/13/2025 15:42,Mac,YELLOW,8,FOOTBALL,243,2,DARK,65,3,NA,11,SUMMER,0,GREAT
1/13/2025 15:42,Mac,GREEN,7,NA,239,3,DARK,68,4,INDIEROCK,15,WINTER,3.5,GREAT
1/13/2025 15:42,Mac,PURPLE ,6,BASKETBALL,240,1,DARK,72,5,POP,15,WINTER,0,FUN 
1/13/2025 15:42,Mac,BLUE,7,SWIMMING,235,2,DIRTY BLONDE,55,6.75,POP,10,SPRING,12,SHORT
1/13/2025 15:42,PC,YELLOW,8,HOCKEY,237,2,BROWN,60,5,INDIE,30,SPRING,10,FUN
1/13/2025 15:43,Mac,PURPLE,8,SOCCER,234,2,DARK,68,4,INDIEPOP,16,SPRING,3,SLAY
1/13/2025 15:43,Mac,NA,7,BASEBALL,252,8,DARK,50,4,RETRO,6,FALL,0,TAXING
1/13/2025 15:43,Mac,LAVENDER ,7,SOCCER,246,2,DARK,70,2.5,ACOUSTIC,8,FALL,7,RESTFUL
1/13/2025 15:43,PC,RED,9,VOLLEYBALL,242,2,DARK,72,3,R&B,7,FALL,0,RELAXING
1/13/2025 15:43,Mac,BLACK,7,SOCCER,249,2,DARK,70,2,ALT,3,FALL,5,GREAT
1/13/2025 15:43,PC,SKY BLUE ,8,ROWING,242,2,BROWN,68,3,INDIE,17,SPRING,0,PEACEFUL
1/13/2025 15:43,Mac,BLUE,7,GYMNASTICS,239,1,BROWN,70,3,R&B,4,SPRING,0,RESTFUL
1/13/2025 15:43,Mac,BEIGE,7,BASKETBALL,233,2,YELLOW,58,6,INDIE,18,FALL,8,LONG
1/13/2025 15:43,Mac,PURPLE,8,SKIING ,246,5,YELLOW,85,3.5,HOUSE,18,SUMMER,10,COLD
1/13/2025 15:43,Mac,BLUE,8,SOCCER,236,4,BROWN,65,4,EDM,30,FALL,8,UNPRODUCTIVE
1/13/2025 15:43,Mac,BLUE,8,TENNIS,244,3,BROWN,67,3,POP,9,SPRING,10,BUSY
1/13/2025 15:43,Mac,BLUE,7,SOCCER,246,2,BROWN,71,2.3,RAP,16,SUMMER,0,MAGESTIC
1/13/2025 15:44,PC,GREEN,9,SOCCER,242,5,DARK,68,5,INDIE,4,SPRING,0,LONG
1/13/2025 15:44,Mac,BLUE,8,SOCCER,235,3,BROWN,57,5.5,COUNTRY,27,SPRING,6,AMAZING
1/13/2025 15:44,PC,BROWN,6,BASKETBALL,240,2,DARK,64,3.5,POP,6,WINTER,0,REFRESHING
1/13/2025 15:44,PC,BLUE,6,WUSHU,235,2,DARK,60,10,HOYOMIX,10,SPRING,2,UNEVENTFUL 
1/13/2025 15:44,Mac,ORANGE,7,FOOTBALL,232,2,ORANGE,72,5,5,17,FALL,5,BUSY
1/13/2025 15:44,Mac,BLUE,7,FOOTBALL,229,11,DARK,67,6,NA,11,SUMMER,NA,RANDOM
1/13/2025 15:44,PC,GREEN,7,SOCCER,239,2,BROWN,65,3,RAP,8,SPRING,4,DECENT 
1/13/2025 15:44,Mac,BABY PINK,7,BASKETBALL,232,2,DIRTY BRUNETTE,65,7,R&B,7,SUMMER,6,ACCOMPLISHED 
1/13/2025 15:44,PC,BLUE,8,NONE,240,3,DARK,67.5,5,POP,20,WINTER,0,RELAXING
1/13/2025 15:44,Mac,BLUE,8,SOCCER,241,5,DARK,75,5,R&B,4,WINTER,8,FINE
1/13/2025 15:44,Mac,PINK,9,BASKETBALL,242,1,BROWN,77,6,COUNTRY,13,SUMMER,5,RELAXING
1/13/2025 15:44,Mac,PURPLE ,7,SWIMMING ,236,2,BROWN,70,3.25,2,20,SUMMER,2,WORK
1/13/2025 15:44,Mac,BLUE,7,GOLF,221,3,YELLOW,88,2,ALT,13,SUMMER,3,CHILLED
1/13/2025 15:44,PC,GREEN,8,GYMNASTICS,231,3,BROWN,72,6,15,14,FALL,15,EXCITING! 
1/13/2025 15:44,Mac,RED,9,BASKETBALL,232,1,BROWN,65,5,YACHT,12,FALL,5,SHORT
1/13/2025 15:45,PC,BLACK ,6,TRACK AND FIELD ,238,9,DARK,70,2h,R&B,3,SPRING,8,CHILL
1/13/2025 15:45,Mac,GREEN,6,SOCCER,237,4,YELLOW,76,7,PALMAS/BULERIAS,26,SPRING,5,BUSY THEN BORING
